Entity,Code,Year,DALYs_Mental_Disorders_Percent
Afghanistan,AFG,1999,1.850987749
Afghanistan,AFG,2009,2.95453609
Afghanistan,AFG,2019,3.991275425
Albania,ALB,1999,5.107101819
Albania,ALB,2009,5.898417871
Albania,ALB,2019,5.350384824
Algeria,DZA,1999,5.99445686
Algeria,DZA,2009,7.162919498
Algeria,DZA,2019,7.80709701
"American Samoa",ASM,1999,4.593500791
"American Samoa",ASM,2009,4.05066926
"American Samoa",ASM,2019,4.384950081
Andorra,AND,1999,9.085465095
Andorra,AND,2009,8.906667302
Andorra,AND,2019,8.327691378
Angola,AGO,1999,1.482193074
Angola,AGO,2009,2.27372946
Angola,AGO,2019,3.775167158
"Antigua and Barbuda",ATG,1999,6.347816625
"Antigua and Barbuda",ATG,2009,6.897790388
"Antigua and Barbuda",ATG,2019,6.680275005
Argentina,ARG,1999,5.702897933
Argentina,ARG,2009,6.150945138
Argentina,ARG,2019,6.330091676
Armenia,ARM,1999,4.680324157
Armenia,ARM,2009,4.761437562
Armenia,ARM,2019,5.036934102
Australia,AUS,1999,9.133314249
Australia,AUS,2009,10.00559091
Australia,AUS,2019,9.62682664
Austria,AUT,1999,6.718510515
Austria,AUT,2009,7.003156454
Austria,AUT,2019,7.194258745
Azerbaijan,AZE,1999,3.351285209
Azerbaijan,AZE,2009,3.93378953
Azerbaijan,AZE,2019,4.464794372
Bahamas,BHS,1999,5.25536767
Bahamas,BHS,2009,5.799682203
Bahamas,BHS,2019,5.600525925
Bahrain,BHR,1999,9.924248796
Bahrain,BHR,2009,12.51757761
Bahrain,BHR,2019,11.48784935
Bangladesh,BGD,1999,3.127551268
Bangladesh,BGD,2009,4.594160703
Bangladesh,BGD,2019,6.095684297
Barbados,BRB,1999,5.615990168
Barbados,BRB,2009,5.906100055
Barbados,BRB,2019,5.597633453
Belarus,BLR,1999,3.977217558
Belarus,BLR,2009,4.164262397
Belarus,BLR,2019,4.656499466
Belgium,BEL,1999,6.028284525
Belgium,BEL,2009,6.575001933
Belgium,BEL,2019,6.691666248
Belize,BLZ,1999,5.091985274
Belize,BLZ,2009,6.095034532
Belize,BLZ,2019,6.426980075
Benin,BEN,1999,1.484153286
Benin,BEN,2009,1.842699294
Benin,BEN,2019,2.539410666
Bermuda,BMU,1999,7.391323402
Bermuda,BMU,2009,7.564491818
Bermuda,BMU,2019,6.840025461
Bhutan,BTN,1999,3.000043053
Bhutan,BTN,2009,4.414584112
Bhutan,BTN,2019,5.631516334
Bolivia,BOL,1999,3.620738935
Bolivia,BOL,2009,4.93473696
Bolivia,BOL,2019,5.782517014
"Bosnia and Herzegovina",BIH,1999,5.642796828
"Bosnia and Herzegovina",BIH,2009,5.108100247
"Bosnia and Herzegovina",BIH,2019,4.58595512
Botswana,BWA,1999,1.534265376
Botswana,BWA,2009,2.380697437
Botswana,BWA,2019,3.285645462
Brazil,BRA,1999,6.384816546
Brazil,BRA,2009,7.424268847
Brazil,BRA,2019,7.489702795
Brunei,BRN,1999,6.245205147
Brunei,BRN,2009,6.630034633
Brunei,BRN,2019,6.056264918
Bulgaria,BGR,1999,3.376498735
Bulgaria,BGR,2009,3.413834561
Bulgaria,BGR,2019,3.351612067
"Burkina Faso",BFA,1999,1.128046954
"Burkina Faso",BFA,2009,1.525428585
"Burkina Faso",BFA,2019,2.025613151
Burundi,BDI,1999,1.15374423
Burundi,BDI,2009,1.971588819
Burundi,BDI,2019,2.911100558
Cambodia,KHM,1999,2.311341169
Cambodia,KHM,2009,3.568973798
Cambodia,KHM,2019,4.385523504
