Entity,Year,Population_Estimates,Prevalence_Mental_Substance_Male_Age_Std_Percent,Prevalence_Mental_Substance_Female_Age_Std_Percent
Canada,1990,27541323,15.01209282,16.0294328
Canada,1991,27888813,15.01978918,16.05136536
Canada,1992,28224410,15.03149882,16.06947278
Canada,1993,28547964,15.03738872,16.08982232
Canada,1994,28860734,15.03912674,16.10429039
Canada,1995,29164153,15.03833622,16.10948983
Canada,1996,29457820,15.00935254,16.05668171
Canada,1997,29742378,14.93375394,15.91222073
Canada,1998,30022078,14.83651296,15.73888381
Canada,1999,30302511,14.75824892,15.59454538
Canada,2000,30588379,14.72613548,15.52971019
Canada,2001,30880072,14.72448634,15.51872719
Canada,2002,31178260,14.71007572,15.50227905
Canada,2003,31488046,14.69856293,15.48356721
Canada,2004,31815490,14.69076489,15.46976194
Canada,2005,32164313,14.67935392,15.45536143
Canada,2006,32536994,14.71846733,15.45893326
Canada,2007,32930795,14.8465554,15.47525365
Canada,2008,33337638,15.00123879,15.5045852
Canada,2009,33746093,15.13184485,15.52634549
Canada,2010,34147566,15.1854722,15.53735971
Canada,2011,34539156,15.19418339,15.53915146
Canada,2012,34922031,15.1996707,15.55058122
Canada,2013,35296535,15.21051562,15.56629906
Canada,2014,35664338,15.2253599,15.58759443
Canada,2015,36026668,15.23991322,15.60581554
Canada,2016,36382942,15.26142538,15.63876401
Canada,2017,36732091,15.28562543,15.67775188
Canada,2018,37074558,,
Canada,2019,37411038,,
